title,score
"École supérieure d'Informatique, réseaux et systèmes d'information",4.16
No Phone,3.596
"Jama, Dumka (village)",3.482
Bleptina araealis,3.422
Ancylis uncella,3.37
Surviliškis (village),3.219
Scythris flavidella,3.174
Grapholita aureolana,3.162
Ranaghat (CT),3.143
Josvainiai (village),3.094
Pelecystola fraudulentella,3.088
Ministry of Finance (The Bahamas),3.086
Pool and Tehidy (electoral division),3.082
"Milówka, Silesian Voivodeship",3.08
Scythris productella,3.07
KONA (AM),3.068
Eucosma fulvana,3.064
Mevagissey (electoral division),3.06
"Masalia, Dumka (village)",3.057
Freak (Image Comics),3.045
Grapholita nebritana,3.018
"Skrzyszów, Silesian Voivodeship",3.014
Grapholita orobana,2.988
Eucosma rubescana,2.973
Gunnislake (electoral division),2.967
"Malinowo, West Pomeranian Voivodeship",2.95
"Warszówka, Masovian Voivodeship",2.95
Ancylis unguicella,2.945
You Can't Hold My Heart,2.943
Samlout (commune),2.928
The Pills – Sempre meglio che lavorare,2.922
Ministry of Finance and Treasury (Solomon Islands),2.92
Belidzhi (selo),2.914
Boljevići (Bar Municipality),2.908
"Technology, Education, Management, Informatics",2.898
Francheville (census division),2.896
News Agency of the Slovak Republic,2.895
M Media (TV Channel),2.895
Eucosma lacteana,2.883
Roseland (electoral division),2.865
Qashqay (village),2.865
Lefter Talo (village),2.86
Endothenia ustulana,2.857
Phnum Proek (commune),2.855
"Gmina Maszewo, West Pomeranian Voivodeship",2.852
Argyroploce externa,2.852
Fitness (Apple),2.848
Narycia duplicella,2.846
Lobesia reliquana,2.842
"Gmina Sławno, West Pomeranian Voivodeship",2.838
Gwinear-Gwithian and St Erth (electoral division),2.83
Coptotriche gaunacella,2.82
"Breage, Germoe and Sithney (electoral division)",2.816
Grapholita lunulana,2.807
Scythris ericivorella,2.8
WZQQ (FM),2.799
Padstow (electoral division),2.795
Redruth South (electoral division),2.795
Ludgvan (electoral division),2.793
Helston South (electoral division),2.783
In Parts Assembled Solely,2.773
Stenoptinea cyaneimarmorella,2.771
Mesapamea secalella,2.768
Eucosma balatonana,2.766
Lobesia fuligana,2.766
Gudžiūnai (village),2.764
Play (The New York Times),2.762
Hayle North (electoral division),2.76
Atemelia torquatella,2.756
Marazion and Perranuthnoe (electoral division),2.756
Wendron (electoral division),2.754
"Gmina Wiśniowa, Podkarpackie Voivodeship",2.75
Epiblema costipunctana,2.75
"Karon, Deoghar (village)",2.748
Infurcitinea albicomella,2.744
Epiblema absconditana,2.74
KBJX (FM),2.74
Fowey and Tywardreath (electoral division),2.734
Parowa (village),2.734
"Gołkowice, Silesian Voivodeship",2.732
"Gmina Dębno, West Pomeranian Voivodeship",2.729
Newlyn and Mousehole (electoral division),2.713
Koas Krala (commune),2.713
Eucosma albidulana,2.71
"Looe West, Lansallos and Lanteglos (electoral division)",2.709
Scythris seliniella,2.709
Crossover (Image Comics),2.709
Gypsonoma nitidulana,2.705
"Gmina Radków, Świętokrzyskie Voivodeship",2.703
Ancylis paludana,2.7
Exapate bicuspidella,2.7
Mullion and Grade-Ruan (electoral division),2.697
Grapholita caecana,2.697
Sirius (urban-type settlement),2.695
"Gmina Dębowiec, Podkarpackie Voivodeship",2.693
Commons (ward),2.69
Air Pacific (United States),2.688
"Gmina Oleśnica, Świętokrzyskie Voivodeship",2.686
"Gmina Czarnocin, Świętokrzyskie Voivodeship",2.684
Apotomis lineana,2.682
Dimal (municipality),2.678
"Gmina Michałowice, Masovian Voivodeship",2.678
Scythris penicillata,2.674
ECD (gene),2.672
Grenville and Stratton (electoral division),2.672
"Gmina Łubnice, Świętokrzyskie Voivodeship",2.67
RPE (gene),2.668
KIMM (AM),2.668
Tintagel (electoral division),2.668
WFLK (FM),2.666
St Ives North (electoral division),2.664
Krakės (village),2.66
Lynher (electoral division),2.66
"Chacewater, Kenwyn and Baldhu (electoral division)",2.658
Ministry of Minerals (Tanzania),2.656
Gunnislake and Calstock (electoral division),2.654
Not for Publication,2.652
Shire of Mansfield (former),2.65
ERC2 (gene),2.648
Archar (village),2.648
Lelant and Carbis Bay (electoral division),2.648
"Krasnoye, Krasninsky District, Smolensk Oblast",2.645
"Gmina Opatów, Świętokrzyskie Voivodeship",2.643
Proceedings of the USSR Academy of Sciences,2.643
Platycorynus marginalis,2.64
"Gmina Czermin, Podkarpackie Voivodeship",2.64
"Gmina Rzgów, Greater Poland Voivodeship",2.639
Cheap Day Return (novel),2.637
"Gmina Rokietnica, Podkarpackie Voivodeship",2.635
STH (gene),2.635
KJCB (FM),2.635
Dichrorampha flavidorsana,2.625
Scythris knochella,2.625
WNKJ (FM),2.625
Yes. (EP),2.617
Epinotia crenana,2.617
Epinotia caprana,2.615
Cow Head (town),2.613
St Ives East (electoral division),2.61
Ministry of Finance (Lesotho),2.61
Tsakhur (village),2.61
Museum of the Great Plains (Oklahoma),2.61
"Gmina Jabłonna, Masovian Voivodeship",2.61
Redruth North (electoral division),2.607
"Gmina Rybno, Masovian Voivodeship",2.6
"Gmina Gorzyce, Podkarpackie Voivodeship",2.6
KBTP (FM),2.6
St Issey and St Tudy (electoral division),2.598
Lobesia euphorbiana,2.594
"Gmina Rybno, Warmian-Masurian Voivodeship",2.594
Xinglong station (Chengdu Metro),2.59
"Gmina Osieczna, Greater Poland Voivodeship",2.582
Kamenný Újezd (Rokycany District),2.578
Tiantong (Satellite),2.574
"Gmina Poświętne, Masovian Voivodeship",2.574
Mount Hawke and Portreath (electoral division),2.572
"Gmina Rokietnica, Greater Poland Voivodeship",2.57
Pelochrista mollitana,2.568
St Ives West (electoral division),2.566
Shizishan station (Chengdu Metro),2.564
Miljevci (Bar Municipality),2.564
Penwithick and Boscoppa (electoral division),2.564
Emerald Air (United States),2.562
"Gmina Łagów, Świętokrzyskie Voivodeship",2.559
"Sarath, Deoghar (village)",2.559
Redruth Central (electoral division),2.559
Tables (Google),2.553
Europium(II) iodide,2.553
Gobionotothen gibberifrons,2.553
Ellsworth County Courthouse (Kansas),2.55
Charpeney (canton),2.549
Neosho County Courthouse (Kansas),2.549
Cycle time (software),2.547
First Contact (novelette),2.547
The Korea Times (Los Angeles),2.545
Second Place (novel),2.545
UTX (gene),2.543
St Just in Penwith (electoral division),2.543
"Gmina Szydłowo, Masovian Voivodeship",2.541
"Mabe, Perranarworthal and St Gluvias (electoral division)",2.537
Pelochrista caecimaculana,2.537
Grdovići (Bar Municipality),2.535
"Gmina Olszanka, Masovian Voivodeship",2.535
"Gmina Górzno, Masovian Voivodeship",2.531
"Sarwan, Deoghar (village)",2.531
"Gmina Chmielnik, Podkarpackie Voivodeship",2.53
Plutonium(III) bromide,2.527
Scythris obscurella,2.527
"Pervomaysky, Ertilsky District, Voronezh Oblast",2.525
CGB2 (gene),2.523
Dahlica fennicella,2.52
"Gmina Osiek, Świętokrzyskie Voivodeship",2.518
ADK (gene),2.518
WERI (FM),2.514
I Don't Want to Go to Bed,2.514
ERH (gene),2.512
"Gmina Brody, Świętokrzyskie Voivodeship",2.51
"Gmina Wierzbica, Masovian Voivodeship",2.51
The Dome (Washington),2.508
D28 road (Croatia),2.506
Porthleven and Helston South (electoral division),2.506
"Gmina Dobre, Masovian Voivodeship",2.504
SLK (gene),2.502
Diccionario geográfico-estadístico-histórico de España y sus posesiones de Ultramar,2.502
Penzance Promenade (electoral division),2.5
Letters Have No Arms,2.5
"Gmina Lipno, Greater Poland Voivodeship",2.496
"Dibrova, Zbarazh urban hromada, Ternopil Raion, Ternopil Oblast",2.496
View of a Town (J. M. W. Turner),2.494
AAMP (gene),2.494
"Gmina Jarocin, Greater Poland Voivodeship",2.494
Horadiz (village),2.492
"Back Creek, New South Wales (Queanbeyan–Palerang)",2.492
"Gmina Słubice, Masovian Voivodeship",2.49
Jaime French (YouTuber),2.49
Pammene giganteana,2.49
Pratt County Courthouse (Kansas),2.488
WRFK (FM),2.486
Bennett Brook (Australia),2.486
Am-Djarass (department),2.486
Aeroport Vnukovo (Moscow Metro),2.486
Shire of Flinders (Victoria),2.486
Simplicia rectalis,2.486
Dichrorampha plumbagana,2.484
Cryphia fraudatricula,2.484
Ancylis unculana,2.484
Epiblema angulatana,2.484
PAR1 (gene),2.48
"Gmina Zduny, Greater Poland Voivodeship",2.48
Grapholita fissana,2.48
Bridgestone (motorcycle),2.48
Ploshchad Alexandra Nevskogo (Saint Petersburg Metro),2.479
"Gmina Chmielnik, Świętokrzyskie Voivodeship",2.477
National Institute of Polar Research (Japan),2.477
The Saturday Magazine (magazine),2.477
OS9 (gene),2.477
Laurel Canyon station (Metro Rail),2.477
Epiblema inulivora,2.473
Epinotia fraternana,2.473
You Can't Break My Heart,2.473
Chacewater and Kenwyn (electoral division),2.473
Leixlip (civil parish),2.473
Dichrorampha obscuratana,2.473
Phiaris dissolutana,2.47
Marcia (Beccafumi),2.469
KACY (TV),2.469
Metendothenia atropunctana,2.467
Looe East (electoral division),2.467
Family Skeleton (novel),2.467
Grid (series),2.465
Hall of Justice (Los Angeles),2.465
Mean Chey (commune),2.46
Ministry of Finance (Belize),2.46
"Gmina Zakrzew, Masovian Voivodeship",2.46
"Gmina Krasne, Podkarpackie Voivodeship",2.455
NHS (gene),2.455
"Gmina Stężyca, Pomeranian Voivodeship",2.453
Seven Years: 1998–2005 (video),2.451
Khokhol (selo),2.45
Science City station (Chengdu Metro),2.45
Mercurial (Shadowrun),2.447
Myrina (Aeolis),2.447
"Morozovka, Ertilsky District, Voronezh Oblast",2.447
Broadway Records (2012),2.447
Logan County Courthouse (Kansas),2.445
The Great Fire (Vanity Fair),2.443
MNT (gene),2.441
"Gmina Kłodawa, Greater Poland Voivodeship",2.441
"St Dominick, Harrowbarrow and Kelly Bray (electoral division)",2.441
CHKB (gene),2.441
Venetian Blind (novel),2.441
"Vasilyevka, Ertilsky District, Voronezh Oblast",2.44
Heibon Punch (manga),2.44
Dönmem Yolumdan,2.44
Amorphous (album),2.44
Zbýšov (Kutná Hora District),2.438
Câlnău (Buzău),2.436
Fire drill (tool),2.434
Artful (novel),2.432
The Passionate Quest (novel),2.432
"Alexandrovka, Ertilsky District, Voronezh Oblast",2.432
"Gmina Jarocin, Podkarpackie Voivodeship",2.43
Broadstone (ward),2.43
The Shepherd's Song (painting),2.43
Atala (district),2.43
Azizul Haque (Politician),2.43
Nemapogon falstriella,2.43
Soubrette werd' ich nie,2.428
Pirula (YouTuber),2.428
Skybar (short story),2.428
Trevarna (electoral division),2.426
Office of the Prime Minister (Fiji),2.426
Creekmoor (ward),2.424
"Sergeyevka, Ertilsky District, Voronezh Oblast",2.422
Coffey County Courthouse (Kansas),2.422
Ortoire (village),2.422
MAFF (gene),2.418
Crowan and Wendron (electoral division),2.418
Terbium(IV) fluoride,2.418
"Gmina Kamień, Podkarpackie Voivodeship",2.416
WNAE (FM),2.414
The Buttercup Chain (novel),2.414
"Gmina Krasne, Masovian Voivodeship",2.414
"Gmina Kolno, Warmian-Masurian Voivodeship",2.412
Campiglossa misella,2.412
Apotomis turbidana,2.412
Ministry of Finance and Economic Management (Vanuatu),2.41
"Dmitriyevka, Ertilsky District, Voronezh Oblast",2.41
Core (video game),2.408
Vakzaĺnaja (Minsk Metro),2.406
Meritas (law),2.404
KCCR (AM),2.404
D14 road (Croatia),2.404
Brandon Rogers (YouTuber),2.402
"Gmina Osieczna, Pomeranian Voivodeship",2.402
"Gmina Olesno, Opole Voivodeship",2.402
Truro Tregolls (electoral division),2.402
Blackhead (New York),2.4
Denisia luticiliella,2.398
One Plus One (TV program),2.398
Daily Republican (Arkansas),2.398
Library of the Economic Commission for Latin America and the Caribbean,2.398
"Gmina Pniewy, Masovian Voivodeship",2.395
Truro Boscawen (electoral division),2.395
Pammene suspectana,2.393
Huanghuayuan station (Chengdu Metro),2.393
The Restless Dead (Warhammer Fantasy Roleplay),2.393
Aegomorphus clavipes,2.393
Sherman Way station (Metro Rail),2.393
Battle Ground (The Dresden Files),2.389
PIM2 (gene),2.387
"Vereshchagino, Vereshchaginsky District, Perm Krai",2.385
Shuangfengqiao station (Chengdu Metro),2.383
"Gmina Białobrzegi, Podkarpackie Voivodeship",2.383
"Oktyabrsky, Ertilsky District, Voronezh Oblast",2.383
Clonsilla (civil parish),2.383
Fox Theatre (Toronto),2.383
Wuhan Road station (Chengdu Metro),2.38
Lobesia bicinctana,2.38
"Gmina Szydłowo, Greater Poland Voivodeship",2.38
Mere Desh Ki Dharti (film),2.379
"Gmina Pniewy, Greater Poland Voivodeship",2.379
Buchholzia (plant),2.377
TUB (gene),2.377
RTP3 (gene),2.375
Doloploca punctulana,2.373
Lo Que Tengo Yo,2.373
Republic County Courthouse (Kansas),2.371
St Austell Bethel (electoral division),2.371
"Gmina Radłów, Opole Voivodeship",2.371
Ancylis rhenana,2.37
Bob Finley (Missionary),2.37
Jinxing station (Hangzhou Metro),2.37
The Belfry (shopping centre),2.37
Camborne Pendarves (electoral division),2.37
Cherokee County Courthouse (Kansas),2.37
Ministry of the Presidency (Bolivia),2.37
Stolen (Agents of S.H.I.E.L.D.),2.367
Falmouth Penwerris (electoral division),2.367
Graphidipus collaris,2.365
My Boy (manga),2.365
Bjørn Nyland (YouTuber),2.365
Lobesia artemisiana,2.365
"Gmina Kolno, Podlaskie Voivodeship",2.363
Measurement (journal),2.363
Epinotia subsequana,2.361
Dickinson County Courthouse (Kansas),2.36
BOK (gene),2.36
Woodman station (Metro Rail),2.36
Flesh and Spirit (painting),2.36
Woodbine Municipal Airport (New Jersey),2.357
Höhere Graphische Bundes-Lehr- und Versuchsanstalt,2.357
After Hours (manga),2.357
Propallene longiceps,2.357
Mount Stewart (Alberta),2.357
Diplodoma laichartingella,2.357
North Battleford (provincial electoral district),2.357
Tokyo Ueno Station (novel),2.355
Pammene insulana,2.355
Muscle Beach (novel),2.355
"Gmina Janów, Podlaskie Voivodeship",2.355
Iwata Station (Yamaguchi),2.355
Pammene argyrana,2.355
PPIE (gene),2.354
Scardia boletella,2.354
"Gmina Baranów, Masovian Voivodeship",2.354
Argyroploce concretana,2.354
Rhyacionia logaea,2.352
Lamprinodes saginatus,2.35
LSL (gene),2.35
Denisia augustella,2.348
WQST (AM),2.348
Epinotia nigricana,2.348
WMHS (FM),2.348
Pristerognatha fuligana,2.346
SMX Convention Center (company),2.346
Dinera carinifrons,2.346
KOCD (FM),2.344
"Gmina Wąsosz, Podlaskie Voivodeship",2.344
Zhujiang Road station (Chengdu Metro),2.344
Epiblema abruptana,2.342
"Gmina Ujazd, Opole Voivodeship",2.342
Vidra (Putna),2.342
Harlem Shuffle (novel),2.34
"Gmina Dobra, Greater Poland Voivodeship",2.34
Chautauqua County Courthouse (Kansas),2.338
Slow Life (novelette),2.338
KRAI (AM),2.338
Bălăneasa (Buzău),2.336
Vicious Circle (painting),2.334
The Will and the Way (novel),2.334
Three Summers (novel),2.334
Cnephasia genitalana,2.332
Brain Wave (character),2.332
Sing and Be Happy (series),2.33
Mišići (Bar Municipality),2.33
Apotomis fraterculana,2.33
Cydia coniferana,2.328
Death Arms (novel),2.328
DTL (gene),2.328
Rhopobota stagnana,2.326
"Novogeorgiyevka, Ertilsky District, Voronezh Oblast",2.326
"Gmina Czermin, Greater Poland Voivodeship",2.322
Kolar Dam (Bhopal),2.322
Shyok (village),2.32
Palpa 2 (constituency),2.32
In Hand (manga),2.32
Ministry of Finance and Economy (Brunei),2.318
Heřmaň (České Budějovice District),2.318
Bond Lake (Ontario),2.318
Freddy Vargas (Venezuelan footballer),2.318
Montgomery Mall (Pennsylvania),2.318
The Beacon (Kansas City),2.316
Arachnis (plant),2.316
Miller Point (Florida),2.316
JUB (gene),2.314
CKLF (gene),2.314
"Gmina Dąbie, Greater Poland Voivodeship",2.312
Aegomorphus contaminatus,2.312
Commersonia craurophylla,2.312
Dichrorampha senectana,2.31
Torres Airport (Brazil),2.31
Celypha capreolana,2.31
Brooklyn Bridge (software),2.31
Putina (town),2.309
Iamnot,2.309
Pammene obscurana,2.309
Pammene luculentana,2.309
The Haven (novel),2.307
Orpheum Theatre (Los Angeles),2.307
Kafir-kala (Uzbekistan),2.307
KIPA (AM),2.307
WTAP (gene),2.305
Metro Herald (Virginia),2.305
"Gmina Rudnik, Silesian Voivodeship",2.303
ST5 (gene),2.303
The Night Club (novel),2.303
Cowley County Courthouse (Kansas),2.303
Mühlebach (Zürich),2.303
Cross Lake (Manitoba),2.3
Nagoa (Bardez),2.3
Roscoe station (Metro Rail),2.3
"The Gazette (Janesville, Wisconsin)",2.3
EHF (gene),2.3
"Maryevka, Ertilsky District, Voronezh Oblast",2.299
St Austell Poltair (electoral division),2.299
Goat Song (novelette),2.299
Wickersham Dome (Yukon–Koyukuk Census Area),2.297
Purging (manufacturing),2.295
Chthonocephalus tomentellus,2.293
Endothenia ericetana,2.293
Pterogonia episcopalis,2.293
Code Orange (novel),2.293
"The Nationalist (Mobile, Alabama)",2.291
Ministry of Finance and Economic Development (Kiribati),2.291
"Mohanpur, Deoghar (village)",2.291
Epiblema albohamulana,2.29
The Virgin Appears to Saint Luke and Saint Catherine (Annibale Carracci),2.29
Australian Institute of Sport (netball),2.29
SMS (gene),2.287
Zhucun station (Shenzhen Metro),2.287
Epiblema similana,2.287
Sphenomorphus sungaicolus,2.287
Nickelodeon (manga),2.287
Trang (commune),2.285
Apotomis algidana,2.285
WBZL (FM),2.283
Windsor West (provincial electoral district),2.283
Dichrorampha consortana,2.283
Hammond Island (California),2.281
Batar (river),2.281
Chromium(II) iodide,2.281
Sea Horses (novel),2.281
KBKO (FM),2.28
Mike Farley (actor),2.28
Indian Summer (painting),2.28
Recon (app),2.277
Interference (novel),2.275
Museum Street (York),2.275
Gorgoroth (Middle-earth Role Playing),2.273
Chia (cryptocurrency),2.273
William Roberts (Parliamentarian),2.273
Scuticaria (plant),2.271
Palpa 1 (constituency),2.271
Silver Line (Delhi Metro),2.271
KHWG (AM),2.271
"Dzerzhinsky, Ertilsky District, Voronezh Oblast",2.271
Jinggangshan (automobile),2.27
Lithocharis nigriceps,2.27
KDKL (FM),2.27
Tough Love (novel),2.27
Scott County Courthouse (Kansas),2.27
Mahottari 1 (constituency),2.27
Shady Grove (restaurant),2.27
Hazardous (ship),2.268
NKRF (gene),2.268
Dayuan station (Chengdu Metro),2.268
Heliodines roesella,2.268
Warwick Records (United States),2.268
Rye Town Hall (New Hampshire),2.266
Oxyna fenestrata,2.266
Tanjung Keramat (state constituency),2.264
I Don't Belong,2.264
Technetium(IV) bromide,2.264
Peace Talks (The Dresden Files),2.262
Insane Asylum (album),2.262
"Gmina Brzeziny, Greater Poland Voivodeship",2.262
Permafrost (story),2.262
Son of a Preacher Man (video),2.26
Kafir-kala (Tajikistan),2.26
Epinotia granitana,2.26
"Gmina Zakrzewo, Greater Poland Voivodeship",2.26
Sampov Lun (commune),2.26
Abietinella (plant),2.26
Conan (Dark Horse Comics),2.26
Ellis County Courthouse (Kansas),2.26
Pammene agnotana,2.258
Genoa (restaurant),2.258
Seal Rocks (Victoria),2.258
Pride of Lions (novel),2.256
Lulu Belle (musical),2.254
Mubarak Al-Kabeer (city),2.254
Dicranella (plant),2.254
"Gmina Czernichów, Silesian Voivodeship",2.252
DSE (gene),2.252
Frances Beckett (Harris),2.252
Centennial Building (Fredericton),2.252
"Middle Arm, Baie Verte Peninsula, Newfoundland and Labrador",2.252
LIPH (gene),2.252
Vampire: The Masquerade (Vault Comics),2.25
Ad Infinitum (metal band),2.25
Jimmy Johnson (actor),2.25
Hidden Hand (book),2.25
Los Angeles Tribune (1911–1918),2.248
Pammene albuginana,2.248
Offensive (military),2.248
Altınşehir (Istanbul Metro),2.246
Misc. (album),2.246
Arlington Peak (California),2.246
Politician (novel),2.246
Dicle-Firat (newspaper),2.246
Happy Time (TV program),2.246
MAL2 (gene),2.246
Aplota palpella,2.246
Nungambakkam (film),2.244
R737 road (Ireland),2.244
WFPA (AM),2.244
Gim (food),2.244
NARS (gene),2.242
Nothing Inside,2.242
Zenodorus orbiculatus,2.242
KGHL (AM),2.24
Mercenary (novel),2.24
MSC (gene),2.24
Rodrigo Muniz (Uruguayan footballer),2.238
IK (gene),2.238
Daouda Diakité (Burkinabé footballer),2.238
"Godoberi, Botlikhsky District, Republic of Dagestan",2.236
"Gmina Biała, Opole Voivodeship",2.236
Dichrorampha incognitana,2.236
'Tis Well if it Takes,2.236
Odalisque (novel),2.234
Artace cribrarius,2.234
Trichophaga scandinaviella,2.234
Pammene spiniana,2.232
Scincella rupicola,2.232
All Souls (novel),2.232
The Arena (novel),2.232
WXBC (FM),2.232
Yinzhen Subdistrict (Zunyi),2.232
Blue Angel (novel),2.232
Monopis fenestratella,2.232
Carbon Copy (software),2.23
Kamrieng (commune),2.23
Huayuan station (Chengdu Metro),2.23
Luperus viridipennis,2.23
Drops (app),2.229
Dichrorampha sylvicolana,2.229
BRE (gene),2.229
Huaqiao station (Chengdu Metro),2.229
R680 road (Ireland),2.229
KWOF (FM),2.227
Mahottari 2 (constituency),2.227
"Gmina Bobrowniki, Silesian Voivodeship",2.227
Rukla (village),2.227
P61 road (Ukraine),2.225
Arch of Nero (painting),2.225
Nordhoff station (Metro Rail),2.225
Akana (village),2.225
"Bacchus, Venus and Ariadne (Tintoretto)",2.225
St Austell Gover (electoral division),2.225
Humor (Moldova),2.225
Alexandria Airport (New Jersey),2.223
Bodmin St Mary's (electoral division),2.223
Pelochrista infidana,2.22
Niagara Falls (British Columbia),2.22
Franklin County Courthouse (Illinois),2.219
Normandy (Mass Effect),2.219
Crasna (Buzău),2.217
PTMS (gene),2.215
Oppeln (region),2.215
Piazza dell'Indipendenza (Rome),2.215
180° Rule (film),2.215
HCST (gene),2.215
Chp (GTPase),2.213
Jinhua station (Chengdu Metro),2.213
Hyperoglyphe perciformis,2.213
Briefcase (Microsoft Windows),2.213
Arcana (Varèse),2.21
Kaaterskill Falls (painting),2.21
DDO (gene),2.21
Hutnik Kraków (handball),2.209
"Gmina Brodnica, Greater Poland Voivodeship",2.209
Various (album),2.207
CST8 (gene),2.207
Mount Pisgah (Essex County New York),2.207
Apotomis lemniscatana,2.207
R510 road (Ireland),2.207
Moelva (Agder),2.207
"Gmina Baranów, Greater Poland Voivodeship",2.207
Camborne Treslothan (electoral division),2.207
Vesicularia (plant),2.207
"Gmina Gorzyce, Silesian Voivodeship",2.205
Executive (novel),2.205
Epiblema grandaevana,2.205
Epinephelus amblycephalus,2.205
Tercera División,2.203
Landscape with Lake and Fallen Tree (J. M. W. Turner),2.203
Trout Lake (Ontario),2.203
WSKP (AM),2.203
Zupci (Bar Municipality),2.203
WVOI (AM),2.203
Tropidia (plant),2.203
Tinea flavescentella,2.203
Cue! (video game),2.201
Sphenomorphus tropidonotus,2.201
State House (Pennsylvania),2.201
Lamentation over the Dead Christ (Donatello),2.201
Nuwakot 2 (constituency),2.201
"Kolodeyevka, Ertilsky District, Voronezh Oblast",2.2
"Gmina Dąbrowa, Opole Voivodeship",2.2
Cameron Johnson (actor),2.2
"Houghton, Cambridgeshire (medieval village)",2.2
The Black Museum (manga),2.2
Caradrina petraea,2.2
Pammene rhediella,2.197
Xestia borealis,2.197
Malai (commune),2.197
Hurricane Season (novel),2.197
County home (Ireland),2.197
Medieval (video game),2.195
Mulayam Singh Yadav (Auraiya politician),2.195
Estradiol benzoate/trenbolone acetate,2.195
Calul (Bistrița),2.195
Keyuan station (Chengdu Metro),2.195
Donald Hall (actor),2.193
Xico (restaurant),2.193
"Krasne, Zolochiv Raion, Lviv Oblast",2.193
Cloud County Courthouse (Kansas),2.193
Jefferson County Courthouse (Kansas),2.193
Soft (band),2.191
HRC (gene),2.191
Pella (town),2.191
Pararhabdochaeta brachycera,2.191
The Leader (story),2.191
Turkiston (Tashkent Metro),2.191
Postia leucomallella,2.191
"Michurinsky, Ertilsky District, Voronezh Oblast",2.19
KART (AM),2.19
Funnies (golf),2.19
PHLPP (gene),2.19
200 Meters (film),2.19
Dede (restaurant),2.19
Sphenomorphus cameronicus,2.188
Coverage (information systems),2.188
Phiaris turfosana,2.188
"Gmina Piaski, Greater Poland Voivodeship",2.188
Creagh (civil parish),2.188
Dai (cryptocurrency),2.186
Rulon (plastic),2.186
Ornithocephalus (plant),2.186
Xestia distensa,2.184
Running Creek (Ontario),2.184
"Rue Mouffetard, Paris (photograph)",2.184
Mogulu (town),2.184
Wilson County Courthouse (Kansas),2.184
AGK (gene),2.184
Sindhupalchok 2 (constituency),2.182
Al Ayam (Sudan),2.182
Tyutchevskaya (Moscow Metro),2.182
Cape Horn (Washington),2.182
"Gander Bay North, Newfoundland and Labrador",2.182
Serenata (phone),2.182
Stone Mountain (Pennsylvania),2.182
Rivière du Milieu (Lanaudière),2.182
Unfinished (book),2.18
Music Museum (Basel),2.178
RICS (gene),2.178
İmam Hatip Lisesi (Istanbul Metro),2.178
MAK (gene),2.178
Epinotia gimmerthaliana,2.178
Lucas Monzón (Uruguayan footballer),2.176
Alleniella complanata,2.176
Graham County Courthouse (Kansas),2.176
"Novoukrainka, Zolotonosha Raion, Cherkasy Oblast",2.176
Lake Louise (Estrie),2.176
Güero (restaurant),2.174
29 (EP),2.172
Science Park station (Shenzhen Metro),2.172
Pammene clanculana,2.172
2-(2-(4-Methyl-3-cyclohexen-1-yl)propyl)cyclopentanone,2.17
Jerantut (town),2.17
Surkhet 2 (constituency),2.17
Capitol Offense (band),2.17
Blend (album),2.17
Vicarious (album),2.17
WWWH (AM),2.168
Deeside (book),2.168
Oxyna flavipennis,2.168
Daily Post (Hobart),2.168
Ambassador Hotel (San Francisco),2.166
Green Eyes (novel),2.166
Historic Resources Act (Newfoundland and Labrador),2.166
KOFA (AM),2.166
Dad (novel),2.164
R520 road (Ireland),2.164
Self-Inflicted,2.164
Acompus rufipes,2.162
Torch Tower (Japan),2.162
Siu Hang Tsuen (Tuen Mun District),2.162
SARS (gene),2.16
Mahottari 4 (constituency),2.16
BATF (gene),2.16
Overflow (software),2.16
Nucleoside-modified messenger RNA,2.16
"Voznesenovka, Ertilsky District, Voronezh Oblast",2.16
Steve Way (actor),2.16
ABRA (gene),2.16
Metamorphosed (album),2.16
Behind the Walls (sculpture),2.16
The Ceremonies (novel),2.158
Lee Seol (YouTuber),2.158
The Dream Merchant (novel),2.158
Studying Abroad (EP),2.158
Litargus connexus,2.158
Cornwall and West Plymouth (European Parliament constituency),2.156
P44 road (Ukraine),2.156
Expatriate (restaurant),2.156
Phiaris umbrosana,2.154
"Komsomolskoye, Ertilsky District, Voronezh Oblast",2.154
Quill Lakes (provincial electoral district),2.154
Companies listed on the Toronto Stock Exchange (D),2.154
Thma Puok (commune),2.154
Hernandia bivalvis,2.152
Vitalina Varela (actress),2.152
Omphalos (story),2.152
Pleuranthodium platynema,2.152
Hamilton Lake (suburb),2.152
TattleTales (album),2.152
Cydia cognatana,2.15
Bodmin St Leonard (electoral division),2.15
Caesia micrantha,2.15
Nanhu station (Hangzhou Metro),2.15
Mayurpankhi (publisher),2.15
Crossed Swords (Timemaster),2.15
Real (band),2.15
Mallada basalis,2.15
Jorge Ramos (Brazilian footballer),2.15
Ono Station (Nagano),2.15
"Gmina Opatów, Silesian Voivodeship",2.15
Gramapanchayath (film),2.148
Hall of Justice (San Francisco),2.148
Eucosma tripoliana,2.148
Arrows of Desire (novel),2.148
Cerveza Pilsen (Paraguay),2.148
Thalli Pogathey (film),2.148
Sanguantang station (Chengdu Metro),2.148
Evil Angel (studio),2.148
Ohangaron (Tashkent Metro),2.146
Banasa dimidiata,2.146
